2443,FALSE,View 0 Demo,Ve la demostración de 0
2444,FALSE,Quick Links,Enlaces rápidos
2445,FALSE,Pick a Plan,Escoge un plan
2446,FALSE,Buy a Phone,Compra un teléfono
2447,FALSE,Add an Accessory,Agrega un accesorio
2448,FALSE,Check Your Coverage,Ve tu cobertura
2449,FALSE,Local Interests,Intereses locales
2450,FALSE,Pay Your Bill,Paga tu factura
2451,FALSE,Get a Prepaid Visa Card,Obtén una tarjeta Visa prepagada
2452,FALSE,Keep Your Number,Mantén tu mismo número
2453,FALSE,Customer Support,Atención al cliente
2454,FALSE,Business Solutions,Soluciones para negocios
2455,FALSE,Talk All You Want,Habla todo lo que quieras
2456,FALSE,Unlimited local and long distance calling.,Llamadas locales y de larga distancia sin límites.
2457,FALSE,No signed contracts.,Sin contratos.
2458,FALSE,Go,Ir
2459,FALSE,Got You Covered,Te tenemos cubierto
2460,FALSE,Find and view coverage maps for your region.,Busca y ve mapas de cobertura para tu región.
2461,FALSE,Email Sign-up,Registra tu correo electrónico
2462,FALSE,Contact,Contacto
2463,FALSE,Digital TV Transition,Transición a TV digital
2464,FALSE,"©0 MetroPCS Wireless, Inc. All rights reserved.","©0 MetroPCS Wireless, Inc. Todos los derechos reservados."
2465,FALSE,Terms and Conditions,Términos y condiciones
2466,FALSE,Privacy Policy,Política de privacidad
2467,FALSE,Política de Privacidad,Política de Privacidad
2468,FALSE,Consumer Protection,Protección al consumidor
2469,FALSE,Amber Alerts,Alertas Ámbar
2470,FALSE,TRUSTe CERTIFIED PRIVACY,TRUSTe CERTIFIED PRIVACY
2471,FALSE,SpeedBill,SpeedBill
2472,FALSE,SpeedBill� Version 0.1,SpeedBill� - Versión 0.1
2473,FALSE,Welcome,Bienvenido
2474,FALSE,Please enter your login name and password in the boxes provided below to gain access to your billing information.,Escribe el nombre de ingreso y la contraseña en las casillas que aparecen a continuación para obtener acceso a tu información de facturación.
2475,FALSE,Login,Ingresar
2476,FALSE,Password,Contraseña
2477,FALSE,Forgot Password,Olvidé mi contraseña
2478,FALSE,New user? Create your account here.,¿Eres un usuario nuevo? Crea tu cuenta aquí.
2479,FALSE,Click Here for details about site Requirements,Haz clic aquí para obtener detalles sobre los requisitos del sitio
2480,FALSE,You Must Complete Both Fields to Continue,Debes completar los dos campos para continuar
2481,FALSE,Family Unlimited Details,Detalles de Familia sin límites
2482,FALSE,Do you have a question about our Family Unlimited promotion?,¿Tienes alguna pregunta sobre nuestra promoción Familia sin límites?
2483,FALSE,We have answers. Please check below for the most frequently asked questions.,Tenemos las respuestas. Mira a continuación las preguntas más frecuentes.
2484,FALSE,What is included in the plan?,¿Qué incluye el plan?
2485,FALSE,How many phones can I have on the plan?,¿Cuántos teléfonos puedo tener en el plan?
2486,FALSE,Can I add additional features?,¿Puedo agregar funciones adicionales?
2487,FALSE,"I am an existing customer, can I take part in the new Family Unlimited Plan?","Soy un cliente actual, ¿puedo participar en el nuevo plan Familia sin límites?"
2488,FALSE,How long is the promotion?,¿Qué duración tiene la promoción?
2489,FALSE,What happens after the promotional period ends?,¿Qué sucede una vez finalizado el período promocional?
2490,FALSE,Customers that sign up for the promotion during the promotional period will be able to stay in the program after it ends.,Los clientes que se suscriban para la promoción durante el período promocional podrán permanecer en el programa una vez finalizado.
2491,FALSE,"However, no new phones can be added to receive the Family Unlimited Plan discount after 0/1/2.","Sin embargo, no pueden agregarse nuevos teléfonos para recibir el descuento del plan Familia sin límites después del 0/1/2."
2492,FALSE,Artist: Bobby Vinton,Artista: Bobby Vinton
2493,FALSE,Title: Take Good Care Of My Baby,Título: Take Good Care Of My Baby
2494,FALSE,English,Español
2495,FALSE,Español,English
2496,FALSE,"Thursday, Nov 0, 1 2:3 AM",Jueves 0 de noviembre de 1 a las 2:3 AM
2497,FALSE,Cardholder Online Account,Cuenta en línea del titular de la tarjeta
2498,FALSE,Please enter your User ID and Password,Ingresa tu identificación de usuario y contraseña
2499,FALSE,User ID,Identificación de usuario
2500,FALSE,Please note: Passwords are case sensitive.,Ten en cuenta: Las contraseñas distinguen entre mayúsculas y minúsculas.
2501,FALSE,"For example, if your password is 'Fred0' and you enter it 'FRED1', your login will fail.","Por ejemplo, si tu contraseña es ""Fred0"" e ingresas ""FRED1"", no podrás entrar."
2502,FALSE,Forgot your Password?,¿Olvidaste tu contraseña?
2503,FALSE,First Time User?,¿Eres un nuevo usuario?
2504,FALSE,Register now for Online Account Access.,Regístrate ahora para ingresar a la cuenta en línea
2505,FALSE,Register Now,Regístrate ahora
2506,FALSE,Issued by MetaBank,Emitida por MetaBank
2507,FALSE,Forgot Login Information,Olvidé la información de ingreso
2508,FALSE,Update the following information to create a new password and access your account.,Actualiza la siguiente información para crear una nueva contraseña e ingresar a tu cuenta.
2509,FALSE,Card Verification Number,Número de verificación de tarjeta
2510,FALSE,Help?,¿Ayuda?
2511,FALSE,"On the back of the card, the last 0 digits located on the signature panel.","Al dorso de la tarjeta, los últimos 0 dígitos ubicados en el sector de la firma."
2512,FALSE,Expiration Date,Fecha de vencimiento
2513,FALSE,Month,Mes
2514,FALSE,Year,Año
2515,FALSE,Date of Birth,Fecha de nacimiento
2516,FALSE,Day,Día
2517,FALSE,Submit,Enviar
2518,FALSE,Cancel,Cancelar
2519,FALSE,Maintaining the security of your password is your responsibility.,Mantener la seguridad de tu constraseña es tu responsabilidad.
2520,FALSE,No Customer Service Representative knows or can retrieve your password for you.,Ningún representante del servicio al cliente conoce ni puede recuperar tu contraseña por ti.
2521,FALSE,Representatives will never ask you for your Online Account password.,Los representantes nunca te solicitarán la contraseña de tu cuenta en línea.
2522,FALSE,Card Verification Number Help,Ayuda para el número de verificación de tarjeta
2523,FALSE,PreCash Privacy Policy,Política de privacidad de PreCash
2524,FALSE,"At PreCash, Inc. we value your trust and respect your privacy.","En PreCash, Inc., valoramos su confianza y respetamos su privacidad."
2525,FALSE,"This Notice applies to our existing and former customers, meaning individuals who obtain a financial product or service from us primarily for consumer (personal, family or household) purposes.","Este Aviso se aplica a nuestros clientes existentes y anteriores, lo cual incluye a las personas que obtengan un producto financiero o un servicio de parte nuestra principalmente para fines de consumo (personal, familiar u hogareño)."
2554,FALSE,Texas,Texas
2555,FALSE,"After first contacting PreCash, if you still have an unresolved complaint regarding our money transmission activities, please direct your complaint to:","Luego de contactar a PreCash por primera vez, si aún tiene algún reclamo sin resolver en referencia a nuestras actividades de transmisión de dinero, diríjalo a:"
2556,FALSE,Texas Department of Banking,Texas Department of Banking
2557,FALSE,0 North Lamar Boulevard,0 North Lamar Boulevard
2558,FALSE,"Austin, Texas 0","Austin, Texas 0"
2559,FALSE,www.banking.state.tx.us.,www.banking.state.tx.us.
2560,FALSE,"For additional privacy policy information from Meta Bank,","Para obtener información adicional sobre la política de privacidad de MetaBank,"
2561,FALSE,click here.,haz clic aquí.
2562,FALSE,"This page uses frames, but your browser doesn't support them.","Esta página utiliza marcos, pero tu navegador no los admite."
2563,FALSE,SpeedBills,SpeedBills
2564,FALSE,Please use the navigation below to learn more about the tools needed to best view this site.,Utiliza la navegación a continuación para conocer más sobre las herramientas necesarias para ver mejor este sitio.
2565,FALSE,Browser Requirements: Netscape Navigator and Internet Explore versions 0.1 or higher,"Requisitos del navegador: Netscape Navigator e Internet Explorer, versiones 0.1 o superiores"
2566,FALSE,Macromedia's Flash and Shockwave Plugins,Los plugin Shockwave y Flash de Macromedia
2567,FALSE,Javascript Enabled,Habilitado para Javascript
2568,FALSE,Cookies Enabled,Habilitado para cookies
2569,FALSE,Back to Logon,Volver a ingresar
2570,FALSE,Please enter your login.,Escribe tu nombre de ingreso.
2571,FALSE,Please enter your email address.,Ingresa tu dirección de correo electrónico.
2572,FALSE,RETRIEVE PASSWORD,RECUPERA LA CONTRASEÑA
